result,metric
0.37713905554389193,$RMSE$
0.27133015341226124,$RMSE/\sigma$
0.2162109754952921,$MAE$
0.9263799478492788,$R^{2}$
0.2864027305028424,$RMSE$
0.22015876518717103,$RMSE/\sigma$
0.1782308173612776,$MAE$
0.9515301181112601,$R^{2}$
0.2337883622773921,$RMSE$
0.17170614985764004,$RMSE/\sigma$
0.1581014580309954,$MAE$
0.9705169981010656,$R^{2}$
0.2807164756754247,$RMSE$
0.19882610913690876,$RMSE/\sigma$
0.1816348992456942,$MAE$
0.960468178325478,$R^{2}$
0.22545660518519467,$RMSE$
0.1730785071302688,$RMSE/\sigma$
0.15391765044776734,$MAE$
0.9700438303695575,$R^{2}$
0.4436423425117913,$RMSE$
0.3317407780091116,$RMSE/\sigma$
0.2326820828252966,$MAE$
0.8899480562059093,$R^{2}$
