result,metric
0.3926783531915864,$RMSE$
0.28878741039396183,$RMSE/\sigma$
0.22468317692457623,$MAE$
0.9166018315979495,$R^{2}$
0.2852668838912853,$RMSE$
0.19408377727176734,$RMSE/\sigma$
0.1898498096620023,$MAE$
0.962331487399923,$R^{2}$
0.2768700088722727,$RMSE$
0.23102269321233423,$RMSE/\sigma$
0.1846805090998036,$MAE$
0.9466285152209197,$R^{2}$
0.3351903084346136,$RMSE$
0.27184627483135626,$RMSE/\sigma$
0.17832787714432077,$MAE$
0.9260996028603147,$R^{2}$
0.3088924822999491,$RMSE$
0.21467966751996043,$RMSE/\sigma$
0.19986700094961665,$MAE$
0.9539126403535193,$R^{2}$
0.37600772088081236,$RMSE$
0.2744658164353235,$RMSE/\sigma$
0.20125826174794703,$MAE$
0.9246685156084913,$R^{2}$
0.30857661376322787,$RMSE$
0.23273104961519753,$RMSE/\sigma$
0.18363652217921198,$MAE$
0.9458362585450085,$R^{2}$
0.2675555207069263,$RMSE$
0.1910239353784873,$RMSE/\sigma$
0.18672752141742124,$MAE$
0.9635098561125155,$R^{2}$
0.6722668470840379,$RMSE$
0.5082611241937256,$RMSE/\sigma$
0.2864227665032723,$MAE$
0.7416706296333302,$R^{2}$
0.3346988316160321,$RMSE$
0.2467056701582516,$RMSE/\sigma$
0.1812160748465143,$MAE$
0.939136312311768,$R^{2}$
0.31188032237569435,$RMSE$
0.24107520444294525,$RMSE/\sigma$
0.1967658133402096,$MAE$
0.9418827458027922,$R^{2}$
0.335843694195537,$RMSE$
0.24047016608176291,$RMSE/\sigma$
0.20852984306697592,$MAE$
0.9421740992246094,$R^{2}$
0.2895996610648984,$RMSE$
0.23349893446000206,$RMSE/\sigma$
0.19573705752623977,$MAE$
0.9454782476060437,$R^{2}$
0.45496882683994255,$RMSE$
0.3060721786570798,$RMSE/\sigma$
0.21447579551972293,$MAE$
0.9063198214521087,$R^{2}$
0.29285427009073667,$RMSE$
0.22436809564649324,$RMSE/\sigma$
0.19746464974173053,$MAE$
0.9496589576559661,$R^{2}$
0.25086935188746007,$RMSE$
0.19889269232446255,$RMSE/\sigma$
0.17252054390926067,$MAE$
0.9604416969399266,$R^{2}$
0.5089945845109011,$RMSE$
0.358035620983434,$RMSE/\sigma$
0.2590550756538947,$MAE$
0.8718104941070068,$R^{2}$
0.2293970674291652,$RMSE$
0.1680371235247376,$RMSE/\sigma$
0.1469638236910271,$MAE$
0.9717635251175321,$R^{2}$
0.4666588249193898,$RMSE$
0.33712197762329466,$RMSE/\sigma$
0.25025752938392537,$MAE$
0.8863487722033588,$R^{2}$
0.2816601769100526,$RMSE$
0.21013590055254758,$RMSE/\sigma$
0.1728795910724545,$MAE$
0.9558429032989698,$R^{2}$
0.38619427226977937,$RMSE$
0.2912315144394885,$RMSE/\sigma$
0.22455526093095984,$MAE$
0.915184204997282,$R^{2}$
0.2677004923259702,$RMSE$
0.20956913492668547,$RMSE/\sigma$
0.17609400215932655,$MAE$
0.9560807776860807,$R^{2}$
0.5451025790805689,$RMSE$
0.40313034278565485,$RMSE/\sigma$
0.20436643245937974,$MAE$
0.8374859267255204,$R^{2}$
0.27979724196708167,$RMSE$
0.1991023040716149,$RMSE/\sigma$
0.1945034235745122,$MAE$
0.9603582725133742,$R^{2}$
0.5735153702046552,$RMSE$
0.40180288312197093,$RMSE/\sigma$
0.25443936770756237,$MAE$
0.8385544431148717,$R^{2}$
0.28464162717434677,$RMSE$
0.21942653740807788,$RMSE/\sigma$
0.19164207468918343,$MAE$
0.9518519946811014,$R^{2}$
0.3025018451960905,$RMSE$
0.22973397470959028,$RMSE/\sigma$
0.1537686753432576,$MAE$
0.9472223008641333,$R^{2}$
0.29987283262520403,$RMSE$
0.2234573223585769,$RMSE/\sigma$
0.20364125970505267,$MAE$
0.950066825084335,$R^{2}$
0.4118774507064546,$RMSE$
0.29713986138451187,$RMSE/\sigma$
0.2164655372630996,$MAE$
0.911707902776393,$R^{2}$
0.2723115349888447,$RMSE$
0.2056668111156974,$RMSE/\sigma$
0.18050151906769873,$MAE$
0.9577011628055001,$R^{2}$
0.46868935828766023,$RMSE$
0.3485224816079015,$RMSE/\sigma$
0.2212299113541323,$MAE$
0.8785320798138699,$R^{2}$
0.2982094790849836,$RMSE$
0.21475852353001287,$RMSE/\sigma$
0.20148557377031176,$MAE$
0.9538787765712089,$R^{2}$
0.397620210908656,$RMSE$
0.30559803707376965,$RMSE/\sigma$
0.21797123504664379,$MAE$
0.9066098397366589,$R^{2}$
0.33895223747625863,$RMSE$
0.24463499467988353,$RMSE/\sigma$
0.18286444193663684,$MAE$
0.9401537193779733,$R^{2}$
0.3063818193651828,$RMSE$
0.24153767911782223,$RMSE/\sigma$
0.19389060515161483,$MAE$
0.941659549566376,$R^{2}$
0.2508133490617208,$RMSE$
0.18056825225506312,$RMSE/\sigma$
0.1771059094952216,$MAE$
0.9673951062775519,$R^{2}$
0.5227038560855769,$RMSE$
0.39129351258214223,$RMSE/\sigma$
0.24857440184737906,$MAE$
0.8468893870111289,$R^{2}$
0.24156091633161886,$RMSE$
0.1793989563992726,$RMSE/\sigma$
0.15996400037196595,$MAE$
0.9678160144428519,$R^{2}$
0.3795744010364534,$RMSE$
0.27743731892597884,$RMSE/\sigma$
0.20794050906347733,$MAE$
0.9230285340671647,$R^{2}$
0.41426738791224,$RMSE$
0.300976220192611,$RMSE/\sigma$
0.24721567621929405,$MAE$
0.9094133148785689,$R^{2}$
0.34120607931705665,$RMSE$
0.2458463643694799,$RMSE/\sigma$
0.2000367671203065,$MAE$
0.9395595651263089,$R^{2}$
0.38081071632510083,$RMSE$
0.29607502052741724,$RMSE/\sigma$
0.20827714842655823,$MAE$
0.9123395822196895,$R^{2}$
0.3133468782931448,$RMSE$
0.2106991956775803,$RMSE/\sigma$
0.19888250856361556,$MAE$
0.9556058489408208,$R^{2}$
0.3205956655092447,$RMSE$
0.24885271164505512,$RMSE/\sigma$
0.18891542033694614,$MAE$
0.9380723279069031,$R^{2}$
0.260527783903674,$RMSE$
0.20679256163491752,$RMSE/\sigma$
0.1652992460147365,$MAE$
0.9572368364524688,$R^{2}$
0.4247209070305645,$RMSE$
0.2955799490101759,$RMSE/\sigma$
0.23736126047937525,$MAE$
0.9126324937431418,$R^{2}$
0.30837104822292805,$RMSE$
0.22226060567453404,$RMSE/\sigma$
0.18905290169008446,$MAE$
0.9506002231651893,$R^{2}$
0.21119582917274907,$RMSE$
0.17504816718754554,$RMSE/\sigma$
0.13707785315291443,$MAE$
0.9693581391642812,$R^{2}$
0.564610367552166,$RMSE$
0.40116420982732093,$RMSE/\sigma$
0.2627493713283731,$MAE$
0.8390672767536212,$R^{2}$
0.4208120659876176,$RMSE$
0.3185174155842928,$RMSE/\sigma$
0.2316070022770546,$MAE$
0.8985466559695029,$R^{2}$
0.2769878236634225,$RMSE$
0.20900760002979046,$RMSE/\sigma$
0.180502472038572,$MAE$
0.9563158231297871,$R^{2}$
0.4436922072745174,$RMSE$
0.350307330291303,$RMSE/\sigma$
0.22430912999735075,$MAE$
0.87728477434418,$R^{2}$
0.2694116216508418,$RMSE$
0.19321528655414472,$RMSE/\sigma$
0.1771627360838524,$MAE$
0.9626678530417997,$R^{2}$
0.34651343672889756,$RMSE$
0.25066068713855333,$RMSE/\sigma$
0.1944243816779177,$MAE$
0.9371692199232283,$R^{2}$
0.314503955212927,$RMSE$
0.2341249469886021,$RMSE/\sigma$
0.20741670504358348,$MAE$
0.9451855091975843,$R^{2}$
0.4092879601675024,$RMSE$
0.28503796335361536,$RMSE/\sigma$
0.22190754477479047,$MAE$
0.918753359447223,$R^{2}$
0.3261080876545375,$RMSE$
0.26010403209504895,$RMSE/\sigma$
0.19448853024884113,$MAE$
0.9323458924878978,$R^{2}$
0.4496827756113204,$RMSE$
0.32236373245530037,$RMSE/\sigma$
0.21758674371302758,$MAE$
0.8960816239974875,$R^{2}$
0.28048611428318215,$RMSE$
0.21580853933750666,$RMSE/\sigma$
0.1868842900703007,$MAE$
0.9534266743490118,$R^{2}$
0.32386461631809876,$RMSE$
0.2409260778754861,$RMSE/\sigma$
0.1778140729380582,$MAE$
0.9419546249995352,$R^{2}$
