Site2_MeltingT,Site1_NdValence,Site2_GSestFCClatcnt,AtomicRadii_min_value,ElectricalConductivity_min_value,Site2_BCCenergy_pa,NdUnfilled_composition_average,Row_max_value,SecondIonizationEnergy_max_value,NdValence_difference,Site2_Column,Site2_NdUnfilled,Site2_GSenergy_pa,valence_composition_average,Site2_CovalentRadii,ThermalExpansionCoefficient_min_value,HeatFusion_composition_average,Site2_HeatFusion,NdUnfilled_max_value,n_ws^third_max_value,HeatFusion_min_value,IonicRadii_min_value,Site2_SpaceGroupNumber,Site2_NdValence,Material compositions 1,Material compositions 2,E_regression,E_regression_shift,group
1519.0,8.0,3.474656242,1.24,0.5,-8.87041076,3.5,4.0,18.168,3.0,7.0,5.0,-9.02056525,5.0,1.17,13.4,15.195,12.91,5.0,1.75,12.91,0.67,217.0,5.0,Ni,Mn,2.93738,-0.01542,transition_metal
317.3,4.0,4.486063093,1.28,1e-16,-4.6830362,3.0,6.0,19.725,4.0,15.0,0.0,-5.400509043,5.5,1.06,4.5,35.425,18.54,6.0,1.81,18.54,0.17,2.0,0.0,W,P,5.83812,-0.30898000000000003,refractory
1337.33,10.0,4.0575027310000005,1.375,10.0,-3.18445282,0.0,6.0,20.521,0.0,11.0,0.0,-3.20969261,3.5,1.34,11.8,14.645,12.55,0.0,1.67,12.55,0.64,225.0,10.0,Pd,Au,2.52855,-0.11745,noble-metal
1234.93,8.0,4.027313073999999,1.246,14.6,-2.71997917,1.0,5.0,21.49,2.0,11.0,0.0,-2.76539356,2.5,1.34,13.4,14.39,11.3,2.0,1.75,11.3,0.69,225.0,10.0,Ni,Ag,2.7639299999999998,-0.18887,transition_metal
1357.77,8.0,3.5378211239999997,1.246,14.6,-3.64288728,1.0,4.0,20.292,2.0,11.0,0.0,-3.68065482,2.5,1.17,13.4,15.54,13.6,2.0,1.75,13.6,0.69,225.0,10.0,Ni,Cu,2.88422,-0.06858,transition_metal
317.3,6.0,4.486063093,1.2409999999999999,1e-16,-4.6830362,2.0,4.0,19.725,6.0,15.0,0.0,-5.400509043,5.5,1.06,11.8,16.175,18.54,4.0,1.77,13.81,0.17,2.0,0.0,Fe,P,2.28176,-0.31504,transition_metal
2896.0,5.0,3.973998007,1.3619999999999999,17.3,-10.84610777,5.0,5.0,16.461,0.0,6.0,5.0,-10.84610777,6.0,1.3,4.8,37.48,37.48,5.0,1.77,37.48,0.59,229.0,5.0,Mo,Mo,5.0288,0.0,refractory
1768.0,5.0,3.447656463,1.253,17.3,-6.98008657,4.0,5.0,17.06,2.0,9.0,3.0,-7.080389145,4.5,1.16,4.8,26.84,16.2,5.0,1.77,16.2,0.59,194.0,7.0,Mo,Co,4.59618,-0.43262,refractory
692.68,10.0,3.822215211,1.278,16.9,-1.1570915000000002,0.0,4.0,20.292,0.0,12.0,0.0,-1.239999915,2.0,1.25,16.5,10.334000000000001,7.068,0.0,1.47,7.068,0.73,194.0,10.0,Cu,Zn,1.9986099999999998,-0.08159,transition_metal
1811.0,10.0,3.501224062,1.2409999999999999,11.2,-8.28548436,2.0,4.0,20.292,4.0,8.0,4.0,-8.28548436,4.0,1.17,11.8,13.705,13.81,4.0,1.77,13.6,0.55,229.0,6.0,Cu,Fe,2.47732,0.39712,transition_metal
1337.33,2.0,4.0575027310000005,1.442,2.3,-3.18445282,4.0,6.0,20.521,8.0,11.0,0.0,-3.20969261,3.5,1.34,5.7,16.775,12.55,8.0,1.57,12.55,0.84,225.0,10.0,Zr,Au,2.73199,0.13545,transition_metal
1211.4,6.0,4.514684539,1.2409999999999999,3e-06,-4.27836489,2.0,4.0,16.18,4.0,14.0,0.0,-4.616039545,5.0,1.22,5.7,25.375,36.94,4.0,1.77,13.81,0.53,225.0,10.0,Fe,Ge,2.42327,-0.17353,transition_metal
388.36,8.0,4.689784663999999,1.246,5e-16,-3.00278915,1.0,4.0,23.33,8.0,16.0,0.0,-4.0972167189999995,4.5,1.02,13.4,9.6005,1.7209999999999999,2.0,1.75,1.7209999999999999,0.29,70.0,0.0,Ni,S,2.15778,-0.79502,transition_metal
903.78,10.0,5.016478962,1.278,2.6,-3.88991513,0.0,5.0,20.292,0.0,15.0,0.0,-4.11736234,3.5,1.4,11.0,16.695,19.79,0.0,1.47,13.6,0.73,166.0,10.0,Cu,Sb,1.7882200000000001,-0.29198,transition_metal
1811.0,10.0,3.501224062,1.2409999999999999,10.0,-8.28548436,2.0,5.0,19.63,4.0,8.0,4.0,-8.28548436,5.0,1.17,11.8,15.275,13.81,4.0,1.77,13.81,0.55,229.0,6.0,Pd,Fe,2.81947,0.17347,noble-metal
2183.0,6.0,3.733467966,1.2409999999999999,4.0,-8.93926069,5.5,4.0,16.18,3.0,5.0,7.0,-8.93926069,5.5,1.22,8.4,17.655,21.5,7.0,1.77,13.81,0.54,229.0,3.0,Fe,V,2.5138599999999998,-0.08294,transition_metal
1811.0,9.0,3.501224062,1.2409999999999999,9.4,-8.28548436,2.5,6.0,18.563,3.0,8.0,4.0,-8.28548436,5.0,1.17,8.8,17.9925,13.81,4.0,1.78,13.81,0.55,229.0,6.0,Pt,Fe,2.79402,0.11762,noble-metal
2237.0,8.0,3.79278409,1.246,14.6,-6.90998391,2.0,5.0,18.168,0.0,9.0,2.0,-7.25364552,4.5,1.25,8.2,22.035,26.59,2.0,1.76,17.48,0.67,225.0,8.0,Ni,Rh,3.1518,0.19899999999999998,transition_metal
2180.0,6.0,3.550558664,1.2409999999999999,7.9,-9.50480758,4.5,4.0,16.5,1.0,6.0,5.0,-9.50571654,6.0,1.18,4.9,17.405,21.0,5.0,1.77,13.81,0.55,229.0,5.0,Fe,Cr,2.50346,-0.09333999999999999,transition_metal
1941.0,10.0,4.056692689,1.278,2.6,-7.66126811,4.0,4.0,20.292,8.0,4.0,8.0,-7.77522712,3.0,1.32,8.6,13.875,14.15,8.0,1.52,13.6,0.61,194.0,2.0,Cu,Ti,2.03098,-0.04922,transition_metal
2506.0,6.0,4.4613982089999995,1.2409999999999999,3.4,-9.77464936,6.0,6.0,16.18,4.0,4.0,8.0,-9.954299335,5.0,1.44,5.9,20.505,27.2,8.0,1.77,13.81,0.55,194.0,2.0,Fe,Hf,2.32154,-0.27526,transition_metal
1811.0,10.0,3.501224062,1.2409999999999999,11.2,-8.28548436,2.0,5.0,21.49,4.0,8.0,4.0,-8.28548436,4.0,1.17,11.8,12.555,13.81,4.0,1.77,11.3,0.55,229.0,6.0,Ag,Fe,2.1421723409999998,0.317672341,noble-metal
