Site2_MeltingT_min_value,Site2_MeltingT_arithmetic_average,Site2_MeltingT_max_value,Site1_NdUnfilled_min_value,Site2_MeltingT_composition_average,Site2_GSenergy_pa_min_value,Site1_AtomicRadii_max_value,Site1_AtomicRadii_arithmetic_average,Site1_NdUnfilled_arithmetic_average,Site1_AtomicRadii_composition_average,Site2_GSenergy_pa_max_value,Site2_BCCenergy_pa_max_value,Site1_NdUnfilled_composition_average,Site1_AtomicRadii_min_value,MeltingT_difference,Site2_GSenergy_pa_composition_average,Site2_BCCenergy_pa_composition_average,Site2_BCCenergy_pa_min_value,Site1_NdUnfilled_max_value,IonicRadii_arithmetic_average,Site2_BCCenergy_pa_arithmetic_average,ElasticModulus_min_value,AtomicVolume_difference,IonicRadii_composition_average,Site1_HHIr_arithmetic_average,group,mat,E_regression_shift
1234.93,1234.93,1234.93,0.0,1234.93,-2.76539356,1.444,1.444,0.0,1.444,-2.76539356,-2.71997917,0.0,1.444,0.0,-2.76539356,-2.71997917,-2.71997917,0.0,1.15,-2.71997917,80.0,0.0,1.15,1400.0,transition_metals,[Ag][Ag],0.0
1768.0,1768.0,1768.0,0.0,1768.0,-7.080389145,1.444,1.444,0.0,1.444,-7.080389145,-6.98008657,0.0,1.444,533.0699999999999,-7.080389145,-6.98008657,-6.98008657,0.0,0.8999999999999999,-6.98008657,80.0,6.0797872667776005,0.8999999999999999,1400.0,transition_metals,[Ag][Co],-0.090141676
2180.0,2180.0,2180.0,0.0,2180.0,-9.50571654,1.444,1.444,0.0,1.444,-9.50571654,-9.50480758,0.0,1.444,945.07,-9.50571654,-9.50480758,-9.50480758,0.0,0.885,-9.50480758,80.0,4.9827104759972,0.885,1400.0,transition_metals,[Ag][Cr],0.259138544
1357.77,1357.77,1357.77,0.0,1357.77,-3.68065482,1.444,1.444,0.0,1.444,-3.68065482,-3.64288728,0.0,1.444,122.83999999999992,-3.68065482,-3.64288728,-3.64288728,0.0,0.94,-3.64288728,80.0,5.245706017990901,0.94,1400.0,transition_metals,[Ag][Cu],-0.022200405
1811.0,1811.0,1811.0,0.0,1811.0,-8.28548436,1.444,1.444,0.0,1.444,-8.28548436,-8.28548436,0.0,1.444,576.0699999999999,-8.28548436,-8.28548436,-8.28548436,0.0,0.85,-8.28548436,80.0,5.298282980348501,0.85,1400.0,transition_metals,[Ag][Fe],0.317672341
1519.0,1519.0,1519.0,0.0,1519.0,-9.02056525034,1.444,1.444,0.0,1.444,-9.02056525034,-8.87041076,0.0,1.444,284.06999999999994,-9.02056525034,-8.87041076,-8.87041076,0.0,0.91,-8.87041076,80.0,4.8629434842923,0.91,1400.0,transition_metals,[Ag][Mn],0.202185741
1728.0,1728.0,1728.0,0.0,1728.0,-5.54632457,1.444,1.444,0.0,1.444,-5.54632457,-5.43913904,0.0,1.444,493.07,-5.54632457,-5.43913904,-5.43913904,0.0,0.92,-5.43913904,80.0,6.1343635081857,0.92,1400.0,transition_metals,[Ag][Ni],0.250571478
1814.0,1814.0,1814.0,0.0,1814.0,-6.28551309,1.444,1.444,0.0,1.444,-6.28551309,-6.17209116,0.0,1.444,579.0699999999999,-6.28551309,-6.17209116,-6.17209116,0.0,0.95,-6.17209116,80.0,7.933662968700798,0.95,1400.0,transition_metals,[Ag][Sc],-0.001431337
1941.0,1941.0,1941.0,0.0,1941.0,-7.77522712,1.444,1.444,0.0,1.444,-7.77522712,-7.66126811,0.0,1.444,706.0699999999999,-7.77522712,-7.66126811,-7.66126811,0.0,0.8799999999999999,-7.66126811,80.0,0.5606692089153,0.8799999999999999,1400.0,transition_metals,[Ag][Ti],0.164968058
2183.0,2183.0,2183.0,0.0,2183.0,-8.93926069,1.444,1.444,0.0,1.444,-8.93926069,-8.93926069,0.0,1.444,948.07,-8.93926069,-8.93926069,-8.93926069,0.0,0.845,-8.93926069,80.0,3.2307497289106006,0.845,1400.0,transition_metals,[Ag][V],0.248163228
692.68,692.68,692.68,0.0,692.68,-1.239999915,1.444,1.444,0.0,1.444,-1.239999915,-1.1570915,0.0,1.444,542.2500000000001,-1.239999915,-1.1570915,-1.1570915,0.0,0.945,-1.1570915,80.0,1.8699642150883005,0.945,1400.0,transition_metals,[Ag][Zn],-0.146976233
933.47,933.47,933.47,0.0,933.47,-3.74542312,1.43,1.43,0.0,1.43,-3.74542312,-3.65018713,0.0,1.43,0.0,-3.74542312,-3.65018713,-3.65018713,0.0,0.54,-3.65018713,70.5,0.0,0.54,1000.0,non-transition_metals,[Al][Al],0.0
1234.93,1234.93,1234.93,0.0,1234.93,-2.76539356,1.43,1.43,0.0,1.43,-2.76539356,-2.71997917,0.0,1.43,301.46000000000004,-2.76539356,-2.71997917,-2.71997917,0.0,0.845,-2.71997917,70.5,0.4812234323809008,0.845,1000.0,non-transition_metals,[Al][Ag],-0.12503
1090.0,1090.0,1090.0,0.0,1090.0,-4.650889115,1.43,1.43,0.0,1.43,-4.650889115,-4.21496399,0.0,1.43,156.52999999999997,-4.650889115,-4.21496399,-4.21496399,0.0,0.56,-4.21496399,39.0,5.1295412196680985,0.56,1000.0,non-transition_metals,[Al][As],-0.14243
1337.33,1337.33,1337.33,0.0,1337.33,-3.20969261,1.43,1.43,0.0,1.43,-3.20969261,-3.18445282,0.0,1.43,403.8599999999999,-3.20969261,-3.18445282,-3.18445282,0.0,0.6950000000000001,-3.18445282,70.5,0.3526390989705987,0.6950000000000001,1000.0,non-transition_metals,[Al][Au],-0.22471
544.4,544.4,544.4,0.0,544.4,-3.9736944,1.43,1.43,0.0,1.43,-3.9736944,-3.89538374,0.0,1.43,389.0700000000001,-3.9736944,-3.89538374,-3.89538374,0.0,0.785,-3.89538374,34.0,18.8890345646965,0.785,1000.0,non-transition_metals,[Al][Bi],-0.35403
1115.0,1115.0,1115.0,0.0,1115.0,-1.948329565,1.43,1.43,0.0,1.43,-1.948329565,-1.92725921,0.0,1.43,181.53,-1.948329565,-1.92725921,-1.92725921,0.0,0.77,-1.92725921,21.0,26.3427627849617,0.77,1000.0,non-transition_metals,[Al][Ca],-0.19265
594.22,594.22,594.22,0.0,594.22,-0.812174225,1.43,1.43,0.0,1.43,-0.812174225,-0.74033904,0.0,1.43,339.25,-0.812174225,-0.74033904,-0.74033904,0.0,0.745,-0.74033904,62.0,4.985600938285099,0.745,1000.0,non-transition_metals,[Al][Cd],-0.10511
1071.0,1071.0,1071.0,0.0,1071.0,-4.77656965,1.43,1.43,0.0,1.43,-4.77656965,-4.65518148,0.0,1.43,137.52999999999997,-4.77656965,-4.65518148,-4.65518148,0.0,0.84,-4.65518148,30.0,18.190076960824,0.84,1000.0,non-transition_metals,[Al][Ce],-0.33259
1768.0,1768.0,1768.0,0.0,1768.0,-7.080389145,1.43,1.43,0.0,1.43,-7.080389145,-6.98008657,0.0,1.43,834.53,-7.080389145,-6.98008657,-6.98008657,0.0,0.595,-6.98008657,70.5,5.5985638343967,0.595,1000.0,non-transition_metals,[Al][Co],0.7443
2180.0,2180.0,2180.0,0.0,2180.0,-9.50571654,1.43,1.43,0.0,1.43,-9.50571654,-9.50480758,0.0,1.43,1246.53,-9.50571654,-9.50480758,-9.50480758,0.0,0.5800000000000001,-9.50480758,70.5,4.501487043616299,0.5800000000000001,1000.0,non-transition_metals,[Al][Cr],0.9101
