x,y,class_name
-292,0,1
625,625,3
12,12,2
-201,0,1
277,277,2
700,700,3
-137,0,1
-88,0,1
673,673,3
213,213,2
-702,0,1
-408,0,1
-67,0,1
-900,0,1
166,166,2
-856,0,1
796,796,3
447,447,2
-142,0,1
747,747,3
-57,0,1
679,679,3
808,808,3
-143,0,1
-407,0,1
610,610,3
-416,0,1
763,763,3
-46,0,1
630,630,3
-928,0,1
-496,0,1
-815,0,1
-937,0,1
224,224,2
357,357,2
734,734,3
-216,0,1
-916,0,1
-882,0,1
867,867,3
136,136,2
646,646,3
977,977,3
-125,0,1
924,924,3
183,183,2
-288,0,1
182,182,2
-680,0,1
-409,0,1
-646,0,1
644,644,3
489,489,2
219,219,2
-169,0,1
683,683,3
242,242,2
872,872,3
-822,0,1
118,118,2
-578,0,1
340,340,2
265,265,2
-323,0,1
-791,0,1
-664,0,1
760,760,3
-490,0,1
568,568,3
-52,0,1
430,430,2
494,494,2
-663,0,1
-751,0,1
162,162,2
711,711,3
-918,0,1
961,961,3
-588,0,1
-48,0,1
238,238,2
659,659,3
456,456,2
858,858,3
-832,0,1
-592,0,1
381,381,2
466,466,2
227,227,2
66,66,2
917,917,3
-939,0,1
-945,0,1
-243,0,1
-394,0,1
305,305,2
-313,0,1
-527,0,1
-932,0,1
177,177,2
-958,0,1
787,787,3
18,18,2
-898,0,1
-166,0,1
94,94,2
-760,0,1
837,837,3
131,131,2
-114,0,1
-617,0,1
19,19,2
-946,0,1
988,988,3
-651,0,1
-884,0,1
-799,0,1
-671,0,1
-917,0,1
956,956,3
-801,0,1
-610,0,1
287,287,2
279,279,2
-543,0,1
636,636,3
225,225,2
-977,0,1
643,643,3
433,433,2
-129,0,1
-891,0,1
607,607,3
11,11,2
-28,0,1
363,363,2
-424,0,1
116,116,2
-775,0,1
-768,0,1
-425,0,1
249,249,2
501,501,3
520,520,3
45,45,2
606,606,3
-374,0,1
529,529,3
-641,0,1
-468,0,1
674,674,3
-450,0,1
23,23,2
684,684,3
201,201,2
333,333,2
-55,0,1
181,181,2
-890,0,1
-602,0,1
534,534,3
-453,0,1
483,483,2
947,947,3
-974,0,1
637,637,3
-511,0,1
-204,0,1
-312,0,1
890,890,3
-827,0,1
-120,0,1
-661,0,1
-98,0,1
-442,0,1
268,268,2
335,335,2
557,557,3
671,671,3
-770,0,1
-436,0,1
-901,0,1
285,285,2
905,905,3
667,667,3
-665,0,1
359,359,2
332,332,2
746,746,3
-806,0,1
-843,0,1
-634,0,1
-86,0,1
-689,0,1
-277,0,1
-551,0,1
-764,0,1
320,320,2
75,75,2
