x,y,class_name
-25,-1,0
-24.5,-1,0
-24,-1,0
-23.5,-1,0
-23,-1,0
-22.5,-1,0
-22,-1,0
-21.5,-1,0
-21,-1,0
-20.5,-1,0
-20,-1,0
-19.5,-1,0
-19,-1,0
-18.5,-1,0
-18,-1,0
-17.5,-1,0
-17,-1,0
-16.5,-1,0
-16,-1,0
-15.5,-1,0
-15,-1,0
-14.5,-1,0
-14,-1,0
-13.5,-1,0
-13,-1,0
-12.5,-1,0
-12,-1,0
-11.5,-1,0
-11,-0.999999999,0
-10.5,-0.999999998,0
-10,-0.999999996,0
-9.5,-0.999999989,0
-9,-0.99999997,0
-8.5,-0.999999917,1
-8,-0.999999775,1
-7.5,-0.999999388,1
-7,-0.999998337,1
-6.5,-0.999995479,1
-6,-0.999987712,1
-5.5,-0.999966597,1
-5,-0.999909204,1
-4.5,-0.999753211,1
-4,-0.9993293,1
-3.5,-0.998177898,1
-3,-0.995054754,1
-2.5,-0.986614298,1
-2,-0.96402758,1
-1.5,-0.905148254,1
-1,-0.761594156,1
-0.5,-0.462117157,1
0,0,1
0.5,0.462117157,1
1,0.761594156,1
1.5,0.905148254,1
2,0.96402758,1
2.5,0.986614298,1
3,0.995054754,1
3.5,0.998177898,1
4,0.9993293,1
4.5,0.999753211,1
5,0.999909204,1
5.5,0.999966597,1
6,0.999987712,1
6.5,0.999995479,1
7,0.999998337,1
7.5,0.999999388,1
8,0.999999775,1
8.5,0.999999917,1
9,0.99999997,1
9.5,0.999999989,1
10,0.999999996,2
10.5,0.999999998,2
11,0.999999999,2
11.5,1,2
12,1,2
12.5,1,2
13,1,2
13.5,1,2
14,1,2
14.5,1,2
15,1,2
15.5,1,2
16,1,2
16.5,1,2
17,1,2
17.5,1,2
18,1,2
18.5,1,2
19,1,2
19.5,1,2
20,1,2
20.5,1,2
21,1,2
21.5,1,2
22,1,2
22.5,1,2
23,1,2
23.5,1,2
24,1,2
24.5,1,2
25,1,2
