temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),group,Measured_DT41J_[C]
287.0,0.04,0.74,0.6,0.012,0.23,0.21,18.664547962246548,11.165741355311178,original,24.88888888888889
287.0,0.04,0.74,0.6,0.012,0.23,0.21,18.664547962246548,11.165741355311178,original,19.27777777777778
287.0,0.04,0.74,0.6,0.012,0.23,0.21,19.641969597702055,11.160891757727123,original,38.61111111111112
287.0,0.04,0.74,0.6,0.012,0.23,0.21,19.641969597702055,11.160891757727123,original,12.833333333333334
287.0,0.03,0.56,1.4,0.005,0.31,0.13,18.664547962246548,11.165741355311178,original,4.388888888888889
287.0,0.03,0.56,1.4,0.005,0.31,0.13,19.641969597702055,11.160891757727123,original,14.666666666666666
291.1111111111111,0.15,0.52,1.32,0.01,0.2,0.21,17.861534410859036,10.389599950323973,original,10.0
291.1111111111111,0.15,0.52,1.32,0.01,0.2,0.21,17.861534410859036,10.389599950323973,original,24.444444444444443
292.22222222222223,0.15,0.52,1.32,0.01,0.2,0.21,19.012837224705173,10.966255912381982,original,26.11111111111111
292.22222222222223,0.15,0.52,1.32,0.01,0.2,0.21,19.16435285578444,10.93719246682784,original,29.444444444444443
292.22222222222223,0.15,0.52,1.32,0.01,0.2,0.21,19.012837224705173,10.966255912381982,original,39.44444444444444
292.22222222222223,0.15,0.52,1.32,0.01,0.2,0.21,19.16435285578444,10.93719246682784,original,24.444444444444443
292.22222222222223,0.15,0.52,1.32,0.01,0.2,0.21,18.63144376901317,10.659880712760591,original,12.22222222222222
292.22222222222223,0.15,0.52,1.32,0.01,0.2,0.21,18.63144376901317,10.659880712760591,original,-2.7777777777777777
291.1111111111111,0.17,0.64,1.478,0.011,0.225,0.217,17.861534410859036,10.389599950323973,original,4.444444444444445
292.22222222222223,0.17,0.64,1.478,0.011,0.225,0.217,19.012837224705173,10.966255912381982,original,39.44444444444444
292.22222222222223,0.17,0.64,1.478,0.011,0.225,0.217,19.16435285578444,10.93719246682784,original,41.66666666666666
292.22222222222223,0.17,0.64,1.478,0.011,0.225,0.217,18.63144376901317,10.659880712760591,original,27.77777777777778
291.1111111111111,0.27,0.58,1.49,0.016,0.51,0.09,17.861534410859036,10.389599950323973,original,55.55555555555556
292.22222222222223,0.27,0.58,1.49,0.016,0.51,0.09,19.012837224705173,10.966255912381982,original,80.55555555555556
292.22222222222223,0.27,0.58,1.49,0.016,0.51,0.09,19.16435285578444,10.93719246682784,original,96.66666666666669
290.0,0.096,0.58,1.4,0.009,0.21,0.22,18.481442628502304,10.754749316953264,original,13.055555555555555
290.0,0.096,0.58,1.4,0.009,0.21,0.22,18.481442628502304,10.754749316953264,original,18.555555555555557
290.0,0.096,0.58,1.4,0.009,0.21,0.22,19.332438459915604,10.6380089093933,original,29.38888888888889
290.0,0.174,0.665,1.465,0.01,0.186,0.219,19.332438459915604,10.6380089093933,original,74.44444444444444
290.0,0.045,0.083,1.33,0.004,0.14,0.13,18.481442628502304,10.754749316953264,original,7.333333333333334
290.0,0.045,0.083,1.33,0.004,0.14,0.13,19.332438459915604,10.6380089093933,original,8.944444444444445
293.3333333333333,0.03,0.73,1.33,0.007,0.28,0.2,18.588831725594208,11.02556712943192,original,3.111111111111107
289.44444444444446,0.03,0.73,1.33,0.007,0.28,0.2,19.06818586174616,10.935910799231207,original,21.05555555555556
290.0,0.03,0.73,1.33,0.007,0.28,0.2,19.29666519026153,10.906321125653598,original,13.333333333333329
293.3333333333333,0.03,0.73,1.33,0.007,0.28,0.2,18.588831725594208,11.02556712943192,original,-8.777777777777779
289.44444444444446,0.03,0.73,1.33,0.007,0.28,0.2,19.06818586174616,10.935910799231207,original,16.27777777777778
290.0,0.03,0.73,1.33,0.007,0.28,0.2,19.29666519026153,10.906321125653598,original,20.61111111111111
293.3333333333333,0.04,0.67,1.44,0.015,0.48,0.066,18.588831725594208,11.02556712943192,original,9.666666666666668
289.44444444444446,0.04,0.67,1.44,0.015,0.48,0.066,19.06818586174616,10.935910799231207,original,16.555555555555557
290.0,0.04,0.67,1.44,0.015,0.48,0.066,19.29666519026153,10.906321125653598,original,27.22222222222222
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,18.588831725594208,11.018143111352714,original,-5.333333333333332
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.06069784035361,10.93452537682551,original,-5.333333333333332
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.31597034545692,10.884689973844395,original,2.555555555555557
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,18.588831725594208,11.018143111352714,original,-0.0555555555555535
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.06069784035361,10.93452537682551,original,18.77777777777778
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.31597034545692,10.884689973844395,original,18.38888888888889
288.8888888888889,0.04,0.64,1.45,0.011,0.53,0.069,18.588831725594208,11.018143111352714,original,-0.4444444444444464
288.8888888888889,0.04,0.64,1.45,0.011,0.53,0.069,19.06069784035361,10.93452537682551,original,14.499999999999998
288.8888888888889,0.04,0.64,1.45,0.011,0.53,0.069,19.31597034545692,10.884689973844395,original,13.166666666666664
275.55555555555554,0.14,0.55,1.35,0.007,0.19,0.2,17.181843587944773,8.726273376495698,original,15.0
275.55555555555554,0.2,0.33,1.49,0.01,0.09,0.15,17.181843587944773,8.726273376495698,original,15.555555555555555
292.0,0.04,0.86,0.71,0.011,0.2,0.0,18.987219229908003,11.214434131788256,original,9.0
292.0,0.04,0.86,0.71,0.011,0.2,0.0,19.133538908370216,11.01689929072727,original,12.0
